"","sample","distance_group","treatment","n","period","amplitude"
"1","LEFT_A1_FRED","<= 3","FRED",42,23.9992857142857,97.1595238095238
"2","LEFT_A1_FRED","3 - 12","FRED",217,23.9964976958525,94.4131797235023
"3","LEFT_A1_FRED","> 12","FRED",767,24.0141199478488,104.55813559322
"4","LEFT_A4_FRED","<= 3","FRED",21,23.9395238095238,46.4614285714286
"5","LEFT_A4_FRED","3 - 12","FRED",115,24.0446956521739,41.7801739130435
"6","LEFT_A4_FRED","> 12","FRED",863,24.0050984936269,51.4523986095017
"7","LEFT_A6_MUT","<= 3","MUT",46,23.4013043478261,78.4439130434783
"8","LEFT_A6_MUT","3 - 12","MUT",213,23.4491549295775,94.2876525821596
"9","LEFT_A6_MUT","> 12","MUT",616,23.3371103896104,102.249821428571
"10","LEFT_B1_FRED","<= 3","FRED",142,23.6467605633803,70.0752816901408
"11","LEFT_B1_FRED","3 - 12","FRED",370,23.6365945945946,71.6180810810811
"12","LEFT_B1_FRED","> 12","FRED",205,23.6772682926829,83.9811707317073
"13","LEFT_B3_MUT","<= 3","MUT",188,22.6493085106383,41.1372872340426
"14","LEFT_B3_MUT","3 - 12","MUT",232,23.0333620689655,41.1509913793103
"15","LEFT_B3_MUT","> 12","MUT",224,23.2437946428571,42.5116071428571
"16","LEFT_B4_FRED","<= 3","FRED",115,23.454347826087,30.5537391304348
"17","LEFT_B4_FRED","3 - 12","FRED",469,23.4397654584222,29.4527078891258
"18","LEFT_B4_FRED","> 12","FRED",428,23.2688785046729,32.3941588785047
"19","LEFT_C2_MUT","<= 3","MUT",286,23.6792307692308,56.6086363636364
"20","LEFT_C2_MUT","3 - 12","MUT",532,23.6763533834586,64.8672368421053
"21","LEFT_C2_MUT","> 12","MUT",299,23.708762541806,74.7255518394649
"22","LEFT_C3_FRED","<= 3","FRED",243,23.7965432098765,84.729341563786
"23","LEFT_C3_FRED","3 - 12","FRED",376,23.6698936170213,90.1598404255319
"24","LEFT_C3_FRED","> 12","FRED",57,23.7305263157895,92.740701754386
"25","LEFT_D2_MUT","<= 3","MUT",108,23.4185185185185,50.3046296296296
"26","LEFT_D2_MUT","3 - 12","MUT",266,23.5546616541353,55.7714285714286
"27","LEFT_D2_MUT","> 12","MUT",259,23.5140154440154,59.9307335907336
"28","LEFT_D3_FRED","<= 3","FRED",125,23.88208,18.82104
"29","LEFT_D3_FRED","3 - 12","FRED",416,23.8421153846154,21.4291105769231
"30","LEFT_D3_FRED","> 12","FRED",434,23.8254377880184,23.1702995391705
"31","LEFT_D5_MUT","<= 3","MUT",12,23.565,12.4883333333333
"32","LEFT_D5_MUT","3 - 12","MUT",74,23.0531081081081,13.2771621621622
"33","LEFT_D5_MUT","> 12","MUT",500,22.90122,15.39112
"34","RIGHT_B1_FRED","<= 3","FRED",118,23.8586440677966,53.4742372881356
"35","RIGHT_B1_FRED","3 - 12","FRED",385,23.8937402597403,57.9922597402597
"36","RIGHT_B1_FRED","> 12","FRED",526,23.8786311787072,72.7732699619772
"37","RIGHT_B3_MUT","<= 3","MUT",29,24.0672413793103,24.4934482758621
"38","RIGHT_B3_MUT","3 - 12","MUT",76,24.1301315789474,26.4880263157895
"39","RIGHT_B3_MUT","> 12","MUT",785,23.9674012738854,41.5695286624204
"40","RIGHT_B4_FRED","<= 3","FRED",72,23.8916666666667,30.2627777777778
"41","RIGHT_B4_FRED","3 - 12","FRED",284,24.0168661971831,34.3734154929577
"42","RIGHT_B4_FRED","> 12","FRED",573,24.0222164048866,44.0622687609075
"43","RIGHT_B6_MUT","<= 3","MUT",76,22.8530263157895,24.9563157894737
"44","RIGHT_B6_MUT","3 - 12","MUT",279,23.0922222222222,24.5667383512545
"45","RIGHT_B6_MUT","> 12","MUT",449,23.2886414253898,29.6610913140312
"46","RIGHT_C1_FRED","<= 3","FRED",305,23.8188852459016,46.0178032786885
"47","RIGHT_C1_FRED","3 - 12","FRED",201,23.8373631840796,49.107960199005
